NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
Port Jefferson GT 03,24211,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,49,11,0.683333333,6.833333333,20.5,41,0.925588697,0.925628139,80,1,37.44208009,-406.4596939
Pouch,24155,J,Combustion Turbine,Natural Gas,40.6188,-74.069,48,4,0.733333333,7.333333333,22,44,0.880148941,0.930601028,82,1,35.78621707,-314.8685644
Ravenswood CC 04,23820,J,Combined Cycle,Natural Gas,40.7585,-73.9451,286,142,2.891666667,28.91666667,86.75,173.5,0.920387672,0.928579242,82,1,16.82580822,1011.509366
Ravenswood ST 01,23533,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,380,1,2.75,27.5,82.5,165,0.990378961,0.990771695,82,1,85.03642006,2284.099771
Ravenswood ST 02,23534,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,1000,3,7.85,78.5,235.5,471,0.991790854,0.993388574,82,1,87.35184474,5222.75286
Ravenswood ST 03,23535,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,392,1,2.783333333,27.83333333,83.5,167,0.993913599,0.994536822,82,1,84.91480158,2236.231799
Rensselaer,23796,F,Combined Cycle,Natural Gas,42.63,-73.75,84,12,0.608333333,6.083333333,18.25,36.5,0.879511465,0.894586195,42,1,19.51225436,339.6388895
Roseton 1,23587,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,622,30.3,4.125,41.25,123.75,247.5,0.993611531,0.993874137,77,1,86.71337955,3088.272587
Roseton 2,23588,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,635,30.8,4.191666667,41.91666667,125.75,251.5,0.9447014,0.945619557,77,1,80.63302544,4231.102658
Saranac Energy,23793,D,Combined Cycle,Natural Gas,44.7132,-73.4557,268,20,2.125,21.25,63.75,127.5,0.95892353,0.961805112,48,1,21.95359529,299.1621924
Selkirk-I,23801,F,Combined Cycle,Natural Gas,42.5744,-73.8592,143,0,2.383333333,23.83333333,71.5,143,0,0,42,1,21.06708,0
Selkirk-II,23799,F,Combined Cycle,Natural Gas,42.5744,-73.8592,304,54.6,2.258333333,22.58333333,67.75,135.5,0.980876831,0.980855836,42,1,21.09674009,334.5409286
Shoemaker GT,23640,G,Jet Engine,Natural Gas,41.4278,-74.4186,37,0,0.616666667,6.166666667,18.5,37,0,0,77,1,30.63048,0
Shoreham GT3,24213,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,47,0,0.783333333,7.833333333,23.5,47,0,0,80,1,195.33105,0
Shoreham GT4,24214,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,49,0,0.816666667,8.166666667,24.5,49,0,0,80,1,195.33105,0
Somerset,23543,A,Steam Turbine,Coal,43.3561,-78.6039,731,80.4,5.391666667,53.91666667,161.75,323.5,0.993683759,0.994794515,56,1,21.48983415,1781.405604
Sterling,23777,E,Combined Cycle,Natural Gas,43.0803,-75.6003,43,15,0.375,3.75,11.25,22.5,0.927589605,0.931485913,45,1,26.18666732,186.7603764
